timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-06-29,1362.0,1370.0,1351.0,1355.55,1352.9992,43839,0.0000,1.0
2020-06-26,1346.1,1402.0,1341.0,1381.6,1379.0002,232531,0.0000,1.0
2020-06-25,1414.4,1455.0,1392.1,1421.35,1418.6754,52884,0.0000,1.0
2020-06-24,1464.95,1478.1,1415.0,1420.8,1418.1264,60364,0.0000,1.0
2020-06-23,1428.0,1497.65,1418.9,1450.15,1447.4212,139308,0.0000,1.0
2020-06-22,1434.0,1442.4,1412.25,1416.05,1413.3853,35570,0.0000,1.0
2020-06-19,1415.0,1445.0,1414.05,1422.75,1420.0727,52458,0.0000,1.0
2020-06-18,1395.6,1428.0,1352.0,1409.55,1406.8976,88175,0.0000,1.0
2020-06-17,1397.0,1416.6,1388.0,1395.6,1392.9738,36526,0.0000,1.0
2020-06-16,1445.0,1450.0,1381.15,1410.35,1407.6961,55367,0.0000,1.0
2020-06-15,1428.0,1448.95,1411.3,1422.7,1420.0228,46052,0.0000,1.0
2020-06-12,1374.0,1443.45,1250.0,1424.75,1422.069,104929,0.0000,1.0
2020-06-11,1456.0,1478.0,1426.4,1432.85,1430.1537,52863,0.0000,1.0
2020-06-10,1500.0,1507.4,1437.5,1455.15,1452.4118,68900,0.0000,1.0
2020-06-09,1550.0,1570.0,1473.0,1492.4,1489.5917,102607,0.0000,1.0
2020-06-08,1470.0,1594.0,1459.65,1531.35,1528.4684,273419,0.0000,1.0
2020-06-05,1459.0,1489.2,1435.8,1456.1,1453.36,153049,0.0000,1.0
2020-06-04,1394.0,1441.15,1383.0,1432.1,1429.4051,97775,0.0000,1.0
2020-06-03,1421.95,1421.95,1388.55,1392.45,1389.8298,47398,0.0000,1.0
2020-06-02,1420.0,1427.05,1402.45,1409.7,1407.0473,36293,0.0000,1.0
2020-06-01,1460.0,1460.0,1411.6,1415.85,1413.1857,58190,0.0000,1.0
2020-05-29,1380.0,1422.5,1370.05,1409.9,1407.2469,75896,0.0000,1.0
2020-05-28,1389.0,1403.15,1363.4,1381.4,1378.8005,43520,0.0000,1.0
2020-05-27,1355.0,1414.75,1331.55,1392.2,1389.5802,65848,0.0000,1.0
2020-05-26,1460.0,1460.0,1373.8,1377.85,1375.2572,65811,0.0000,1.0
2020-05-22,1449.0,1460.0,1400.7,1422.8,1420.1226,140154,0.0000,1.0
2020-05-21,1400.7,1400.7,1400.7,1400.7,1398.0642,8421,0.0000,1.0
2020-05-20,1334.0,1334.0,1334.0,1334.0,1331.4897,8831,0.0000,1.0
2020-05-19,1265.1,1309.65,1246.0,1270.5,1268.1092,72081,0.0000,1.0
2020-05-18,1314.0,1314.0,1263.65,1263.65,1261.2721,48259,0.0000,1.0
2020-05-15,1345.7,1376.0,1326.0,1330.15,1327.647,74742,0.0000,1.0
2020-05-14,1484.0,1484.0,1381.45,1389.4,1386.7855,238564,0.0000,1.0
2020-05-13,1436.3,1436.3,1376.65,1436.3,1433.5972,161831,0.0000,1.0
2020-05-12,1367.95,1367.95,1367.95,1367.95,1365.3759,5097,0.0000,1.0
2020-05-11,1302.85,1302.85,1302.85,1302.85,1300.3984,5011,0.0000,1.0
2020-05-08,1220.0,1276.2,1220.0,1240.85,1238.515,106659,0.0000,1.0
2020-05-07,1222.9,1247.9,1190.0,1215.45,1213.1628,59749,0.0000,1.0
2020-05-06,1263.25,1271.0,1205.75,1216.35,1214.0611,49859,0.0000,1.0
2020-05-05,1292.0,1309.0,1260.0,1262.25,1259.8748,42555,0.0000,1.0
2020-05-04,1270.0,1304.45,1270.0,1282.4,1279.9868,59655,0.0000,1.0
2020-04-30,1348.0,1348.0,1315.0,1323.6,1321.1093,53545,0.0000,1.0
2020-04-29,1364.0,1364.3,1304.4,1319.95,1317.4662,94656,0.0000,1.0
2020-04-28,1272.0,1330.85,1235.75,1327.55,1325.0519,129627,0.0000,1.0
2020-04-27,1278.7,1327.9,1240.0,1267.5,1265.1149,120762,0.0000,1.0
2020-04-24,1331.0,1341.75,1302.3,1302.3,1299.8494,70922,0.0000,1.0
2020-04-23,1448.0,1448.0,1365.15,1370.8,1368.2205,97753,0.0000,1.0
2020-04-22,1474.0,1509.3,1401.55,1434.2,1431.5012,150062,0.0000,1.0
2020-04-21,1424.7,1484.65,1380.5,1462.25,1459.4984,173528,0.0000,1.0
2020-04-20,1415.0,1424.7,1371.5,1424.7,1422.0191,87835,0.0000,1.0
2020-04-17,1356.9,1356.9,1310.0,1356.9,1354.3467,163251,0.0000,1.0
2020-04-16,1227.0,1292.3,1190.1,1292.3,1289.8682,88110,0.0000,1.0
2020-04-15,1265.0,1287.2,1227.0,1230.8,1228.4839,109229,0.0000,1.0
2020-04-13,1298.0,1316.4,1200.0,1291.45,1289.0198,305526,0.0000,1.0
2020-04-09,1253.75,1253.75,1253.75,1253.75,1251.3908,3769,0.0000,1.0
2020-04-08,1194.05,1194.05,1194.05,1194.05,1191.8031,5063,0.0000,1.0
2020-04-07,1137.0,1137.2,1100.0,1137.2,1135.0601,49149,0.0000,1.0
2020-04-03,1083.05,1083.05,1083.05,1083.05,1081.012,41065,0.0000,1.0
2020-04-01,1031.5,1031.5,1031.5,1031.5,1029.559,3115,0.0000,1.0
2020-03-31,982.4,982.4,982.4,982.4,980.5514,5715,0.0000,1.0
2020-03-30,899.15,944.1,859.55,935.65,933.8893,161776,0.0000,1.0
2020-03-27,899.15,899.15,899.15,899.15,897.458,9578,0.0000,1.0
2020-03-26,776.1,856.35,774.85,856.35,854.7386,58048,0.0000,1.0
2020-03-25,815.6,824.65,815.6,815.6,814.0652,23158,0.0000,1.0
2020-03-24,859.0,879.1,858.5,858.5,856.8845,19465,0.0000,1.0
2020-03-23,903.65,903.65,903.65,903.65,901.9496,12798,0.0000,1.0
2020-03-20,975.0,1004.5,950.35,951.2,949.4101,267945,0.0000,1.0
2020-03-19,1000.35,1033.75,1000.35,1000.35,998.4676,82527,0.0000,1.0
2020-03-18,1072.1,1097.7,1052.95,1052.95,1050.9686,34056,0.0000,1.0
2020-03-17,1158.0,1173.1,1108.35,1108.35,1106.2644,169102,0.0000,1.0
2020-03-16,1199.0,1199.0,1166.65,1166.65,1164.4547,135912,0.0000,1.0
2020-03-13,1159.95,1268.0,1159.95,1228.05,1225.7391,304481,0.0000,1.0
2020-03-12,1220.95,1220.95,1220.95,1220.95,1218.6525,26653,0.0000,1.0
2020-03-11,1226.2,1355.2,1226.2,1285.2,1282.7816,375114,0.0000,1.0
2020-03-09,1290.7,1290.7,1290.7,1290.7,1288.2712,27239,0.0000,1.0
2020-03-06,1358.6,1358.6,1358.6,1358.6,1356.0435,31945,0.0000,1.0
2020-03-05,1500.0,1525.2,1410.0,1430.1,1427.4089,625127,0.0000,1.0
2020-03-04,1751.0,1765.85,1565.2,1565.2,1562.2547,346313,0.0000,1.0
2020-03-03,1770.0,1808.0,1687.0,1739.1,1735.8274,355339,0.0000,1.0
2020-03-02,1810.0,1869.15,1635.1,1713.2,1709.9762,343856,0.0000,1.0
2020-02-28,1845.0,1866.0,1731.95,1744.65,1741.367,453346,0.0000,1.0
2020-02-27,1965.0,1969.95,1889.75,1908.5,1904.9087,252496,0.0000,1.0
2020-02-26,1959.0,1982.2,1940.0,1951.55,1947.8777,235293,0.0000,1.0
